编号,名字,别名,世代,种族,属性,装备凹槽,消耗容量,成长,退化,进化,进化条件,Lv.1数值,Lv.99数值,SS,必杀技,继承技
1,水母兽,,幼年期Ⅰ,自由,无,0,2,速度,[],"['指爪兽', '柏古兽', '阿卡迪兽幼年期']","('等级：', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：150', 'SP：24', 'ATK：30', 'INT：19', 'DEF：20', 'SPD：32')","('HP：1030', 'SP：131', 'ATK：128', 'INT：117', 'DEF：118', 'SPD：159')","('天真无邪的眼眸', 'ACU和EVA提升1%')","[('炫光之眼', '对敌方单体发动暗属性威力30的魔法攻击。')]",[]
2,泡沫兽,泡泡兽,幼年期Ⅰ,自由,无,0,2,HP,[],"['年糕兽', '比高兽', '种子兽']","('等级：', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：320', 'SP：18', 'ATK：23', 'INT：20', 'DEF：23', 'SPD：24')","('HP：1590', 'SP：106', 'ATK：130', 'INT：118', 'DEF：130', 'SPD：112')","('天真无邪的眼眸', 'ACU和EVA提升1%')","[('黏性之泡', '对敌方单体发动木属性威力25的魔法攻击，10%机率使对方减少10%的SPD。')]",[]
3,普尼兽,布尼兽,幼年期Ⅰ,自由,无,0,2,攻击,[],"['猫猫兽', '独角兽']","('等级：', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：290', 'SP：11', 'ATK：34', 'INT：11', 'DEF：29', 'SPD：26')","('HP：1460', 'SP：89', 'ATK：161', 'INT：89', 'DEF：146', 'SPD：124')","('天真无邪的眼眸', 'ACU和EVA提升1%')","[('酸之泡', '对敌方单体发动水属性威力30的魔法攻击。')]",[]
4,黑球兽,,幼年期Ⅰ,自由,无,0,2,防御,[],"['滚球兽', '汪喵兽']","('等级：', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：200', 'SP：19', 'ATK：24', 'INT：23', 'DEF：32', 'SPD：22')","('HP：1180', 'SP：117', 'ATK：131', 'INT：130', 'DEF：159', 'SPD：100')","('天真无邪的眼眸', 'ACU和EVA提升1%')","[('酸之泡', '对敌方单体发动水属性威力30的魔法攻击。')]",[]
5,浮游兽,,幼年期Ⅰ,自由,无,0,2,智力,[],"['布加兽', '迪哥兽']","('等级：', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：150', 'SP：35', 'ATK：15', 'INT：32', 'DEF：15', 'SPD：28')","('HP：930', 'SP：162', 'ATK：93', 'INT：159', 'DEF：103', 'SPD：145')","('天真无邪的眼眸', 'ACU和EVA提升1%')","[('极酸之泡', '对敌方单体发动水属性威力35的魔法攻击。')]",[]
6,阿卡迪兽幼年期,,幼年期Ⅱ,自由,暗,0,3,智力,['水母兽'],['阿卡迪兽成长期'],"('等级：8', 'HP：', 'SP：', 'ATK：55', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：5', '骇客追忆通关')","('HP：330', 'SP：22', 'ATK：47', 'INT：18', 'DEF：15', 'SPD：35')","('HP：1110', 'SP：149', 'ATK：125', 'INT：145', 'DEF：103', 'SPD：152')","('理想乡', '降低受到即死效果的机率50%，提升CRT发生率10%。')","[('数据消耗', '对敌方单体发动暗属性威力35的物理攻击，吸取30%的HP。')]",['Lv5.物理耗竭']
7,滚球兽,,幼年期Ⅱ,自由,火,0,3,攻击,['黑球兽'],"['亚古兽', '基尔兽', '积木亚古兽', '天龙兽', '哈克兽', '高吼兽']","('等级：3', 'HP：', 'SP：', 'ATK：15', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：360', 'SP：13', 'ATK：46', 'INT：13', 'DEF：35', 'SPD：27')","('HP：1530', 'SP：91', 'ATK：173', 'INT：91', 'DEF：152', 'SPD：125')","('天真无邪的眼眸', 'ACU和EVA提升1%')","[('泡沫', '对敌方单体发动水属性威力30的魔法攻击。')]",['Lv5.云雾汽油弹Ⅰ']
8,种子兽,,幼年期Ⅱ,自由,木,0,3,HP,['泡沫兽'],"['巴鲁兽', '幻蜂兽', '拉拉兽', '妖狐兽']","('等级：5', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：400', 'SP：20', 'ATK：32', 'INT：24', 'DEF：29', 'SPD：25')","('HP：1670', 'SP：108', 'ATK：139', 'INT：122', 'DEF：136', 'SPD：113')","('天真无邪的眼眸', 'ACU和EVA提升1%')","[('黏性之泡', '对敌方单体发动木属性威力25的魔法攻击，10%机率使对方减少10%的SPD。')]",['Lv5.盖亚元素Ⅰ']
9,独角兽,犄角兽,幼年期Ⅱ,自由,土,0,3,攻击,['普尼兽'],"['加布兽', '加布兽（黑）', '野人兽', '兹巴兽', 'V仔兽', '单角龙兽']","('等级：5', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：350', 'SP：15', 'ATK：44', 'INT：15', 'DEF：34', 'SPD：27')","('HP：1520', 'SP：93', 'ATK：171', 'INT：93', 'DEF：151', 'SPD：125')","('天真无邪的眼眸', 'ACU和EVA提升1%')","[('泡泡', '对敌方单体发动威力30的水属性魔法攻击。')]",['Lv5.彗星重锤Ⅰ']
10,指爪兽,妖爪兽,幼年期Ⅱ,自由,暗,0,3,速攻,['水母兽'],"['亚古兽（黑）', '哈哈兽', '德古兽', '小恶魔兽']","('等级：5', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：350', 'SP：20', 'ATK：45', 'INT：15', 'DEF：20', 'SPD：35')","('HP：1520', 'SP：108', 'ATK：172', 'INT：93', 'DEF：108', 'SPD：152')","('天真无邪的眼眸', 'ACU和EVA提升1%')","[('钉之刻痕', '对敌方单体发动暗属性威力40的物理攻击。')]",['Lv5.破坏加农Ⅰ']
11,迪哥兽,,幼年期Ⅱ,自由,无,0,3,速度,['浮游兽'],"['巴达兽', '夜鹰兽', '麻鹰兽', '光明兽', '修女兽雪白']","('等级：5', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：200', 'SP：33', 'ATK：25', 'INT：25', 'DEF：25', 'SPD：40')","('HP：1080', 'SP：140', 'ATK：125', 'INT：123', 'DEF：123', 'SPD：167')","('天真无邪的眼眸', 'ACU和EVA提升1%')","[('反噬', '对敌方单体发动无属性威力40的物理攻击。')]",['Lv5.重度强袭Ⅰ']
12,猫猫兽,喵喵兽,幼年期Ⅱ,自由,光,0,3,智力,['普尼兽'],"['穿山兽', '大耳兽', '小狗兽', '露娜兽']","('等级：3', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：10', 'SPD：', '友情：', '才能：', '')","('HP：150', 'SP：44', 'ATK：15', 'INT：40', 'DEF：20', 'SPD：36')","('HP：930', 'SP：171', 'ATK：93', 'INT：167', 'DEF：108', 'SPD：153')","('天真无邪的眼眸', 'ACU和EVA提升1%')","[('妖狐之尾', '对敌方单体发动光属性威力35的物理攻击。')]",['Lv5.神圣钩爪Ⅰ']
13,柏古兽,,幼年期Ⅱ,自由,暗,0,3,智力,['水母兽'],"['加支兽', '小妖兽', '黑大耳兽', '芝蒙兽']","('等级：5', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：160', 'SP：40', 'ATK：21', 'INT：39', 'DEF：19', 'SPD：35')","('HP：940', 'SP：167', 'ATK：99', 'INT：166', 'DEF：107', 'SPD：152')","('天真无邪的眼眸', 'ACU和EVA提升1%')","[('毒之泡', '对敌方单体发动暗属性威力25的魔法攻击，使对方10%的机率中剧毒。')]",['Lv.梦魇Ⅰ']
14,比高兽,,幼年期Ⅱ,自由,木,0,3,HP,['泡沫兽'],"['艾力兽', '比丘兽', '蘑菇兽', '虫虫兽']","('等级：3', 'HP：50', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：410', 'SP：20', 'ATK：29', 'INT：26', 'DEF：29', 'SPD：25')","('HP：1680', 'SP：108', 'ATK：136', 'INT：124', 'DEF：136', 'SPD：113')","('天真无邪的眼眸', 'ACU和EVA提升1%')","[('肥皂之花', '对敌方单体发动水属性威力30的魔法攻击。')]",['Lv.新月之叶Ⅰ']
15,布加兽,,幼年期Ⅱ,自由,水,0,3,魔防,['浮游兽'],"['比特兽', '哥玛兽', '蝌蚪兽', '虾蛄兽']","('等级：3', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：15', 'SPD：', '友情：', '才能：', '')","('HP：300', 'SP：35', 'ATK：15', 'INT：40', 'DEF：25', 'SPD：25')","('HP：1370', 'SP：152', 'ATK：93', 'INT：167', 'DEF：123', 'SPD：113')","('天真无邪的眼眸', 'ACU和EVA提升1%')","[('空气之泡', '对敌方单体发动水属性威力30的魔法攻击。')]",['Lv.发电水流Ⅰ']
16,年糕兽,,幼年期Ⅱ,自由,无,0,3,HP,['泡沫兽'],"['矿石兽', '齿轮兽', '甲虫兽', '太阳兽']","('等级：3', 'HP：', 'SP：', 'ATK：', 'DEF：15', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：400', 'SP：19', 'ATK：29', 'INT：29', 'DEF：28', 'SPD：25')","('HP：1670', 'SP：107', 'ATK：136', 'INT：127', 'DEF：135', 'SPD：113')","('天真无邪的眼眸', 'ACU和EVA提升1%')","[('伸缩自如的泡泡', '对敌方单体发动水属性威力30的魔法攻击。')]",['Lv.力量能源Ⅰ']
17,汪喵兽,,幼年期Ⅱ,自由,风,0,3,万能,['黑球兽'],"['多路兽', '迦奥兽', '管狐兽', '龙蛇兽']","('等级：5', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：300', 'SP：29', 'ATK：30', 'INT：26', 'DEF：26', 'SPD：29')","('HP：1370', 'SP：136', 'ATK：128', 'INT：124', 'DEF：124', 'SPD：136')","('天真无邪的眼眸', 'ACU和EVA提升1%')","[('微笑獠牙', '对敌方单体发动无属性威力40的物理攻击。')]",['Lv.烈风利爪Ⅰ']
18,亚古兽,,成长期,疫苗,火,1,5,攻击,['滚球兽'],"['暴龙兽', '大地暴龙兽', '巨龙兽', '大便兽', '火焰兽', '火神兽']","('等级：9', 'HP：', 'SP：', 'ATK：30', 'DEF：', 'INT：', 'SPD：', '友情：10%', '才能：', '')","('HP：450', 'SP：20', 'ATK：68', 'INT：15', 'DEF：45', 'SPD：37')","('HP：1620', 'SP：98', 'ATK：195', 'INT：93', 'DEF：162', 'SPD：135')","('龙之怒吼', '火属性技能造成的伤害增加15%。')","[('小型火焰', '对敌方单体发动威力70的火属性物理攻击。')]","['Lv.重度强袭Ⅰ', 'Lv.攻击填充']"
19,亚古兽（黑）,,成长期,病毒,火,1,5,攻击,['指爪兽'],"['古拉兽', '暴龙兽蓝', '独眼龙兽', '坦克兽', '巨龙兽', '角龙兽']","('等级：8', 'HP：', 'SP：', 'ATK：30', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：440', 'SP：17', 'ATK：61', 'INT：17', 'DEF：50', 'SPD：36')","('HP：1610', 'SP：95', 'ATK：188', 'INT：95', 'DEF：167', 'SPD：134')","('龙之愤怒', 'ATK提升15%。')","[('喷火', '对敌方全体发动威力35的火属性物理攻击，并有10%的机率使自己的ATK提升10%。')]","['Lv6.云雾汽油弹Ⅰ', 'Lv12.守备填充']"
20,阿卡迪兽成长期,,成长期,病毒,暗,1,5,万能,['阿卡迪兽幼年期'],"['阿卡迪兽成熟期', '魔蛹兽', '狮子兽']","('等级：', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '骇客追忆通关')","('HP：420', 'SP：33', 'ATK：56', 'INT：36', 'DEF：30', 'SPD：33')","('HP：1490', 'SP：140', 'ATK：154', 'INT：134', 'DEF：128', 'SPD：140')","('理想乡', '降低受到即死效果的机率50%，提升CRT发生率10%。')","[('灵魂吸取', '对敌方单体发动暗属性威力70的物理攻击，吸取30%的HP。')]","['Lv6.加速增幅器', 'Lv12.破坏加农Ⅰ']"
21,穿山兽,犰狳兽,成长期,自由,土,1,4,铁壁,['猫猫兽'],"['战甲兽', '庸俗兽', '黄金鼻涕兽', '岩石兽', '独眼龙兽', '坦克兽']","('等级：7', 'HP：75', 'SP：', 'ATK：', 'DEF：20', 'INT：', 'SPD：', '友情：10', '才能：', '')","('HP：530', 'SP：32', 'ATK：23', 'INT：21', 'DEF：48', 'SPD：33')","('HP：1800', 'SP：139', 'ATK：111', 'INT：109', 'DEF：175', 'SPD：111')","('铁壁的守护', 'DEF提升15%。')","[('滚动攻击', '对敌方单体发动威力60的土属性物理攻击，并有10%的机率使自己的DEF提升10%。')]","['Lv.雄伟巨石Ⅰ', 'Lv.晕眩冲击']"
22,小妖兽,,成长期,病毒,暗,1,5,智力,['柏古兽'],"['猛鬼兽', '奥加兽', '冰巫师兽', '黑迪路兽', '巫师兽', '冰恶魔兽']","('等级：7', 'HP：', 'SP：20', 'ATK：', 'DEF：', 'INT：30', 'SPD：', '友情：', '才能：', '')","('HP：140', 'SP：51', 'ATK：44', 'INT：51', 'DEF：21', 'SPD：44')","('HP：920', 'SP：178', 'ATK：122', 'INT：178', 'DEF：109', 'SPD：161')","('巧妙的智慧', 'INT提升15%。')","[('召唤', '给予敌方单体100的固定伤害，并提升自己的INT10%。')]","['Lv.梦魇Ⅰ', 'Lv.偶像泡沫']"
23,艾力兽,,成长期,资料,雷,1,4,万能,['比高兽'],"['加鲁鲁兽', '狮子兽', '亚伯兽', '大便兽', '黑加鲁鲁兽', '庸俗兽']","('等级：7', 'HP：75', 'SP：20', 'ATK：', 'DEF：', 'INT：', 'SPD：20', '友情：', '才能：', '')","('HP：400', 'SP：40', 'ATK：33', 'INT：30', 'DEF：30', 'SPD：37')","('HP：1470', 'SP：147', 'ATK：131', 'INT：128', 'DEF：128', 'SPD：144')","('钢铁帝国', '雷属性技能造成的伤害增加15%。')","[('闪光电击', '对敌方单体发动2次威力30的雷属性魔法攻击。')]","['Lv.天国闪电Ⅰ', 'Lv.麻痹电网']"
24,蝌蚪兽,,成长期,病毒,水,1,4,魔防,['布加兽'],"['贝壳鼻涕兽', '怪蛙兽', '海龙兽', '希拉兽', '鼻涕兽', '烂泥兽']","('等级：7', 'HP：', 'SP：', 'ATK：', 'DEF：', 'INT：20', 'SPD：', '友情：', '才能：', '')","('HP：400', 'SP：47', 'ATK：13', 'INT：50', 'DEF：26', 'SPD：34')","('HP：1470', 'SP：164', 'ATK：91', 'INT：177', 'DEF：124', 'SPD：122')","('深海的睡眠', '并有10%的机率使对方睡眠。')","[('睡之泡', '对敌方单体发动威力55的水属性魔法攻击。')]","['Lv.发电水流Ⅰ', 'Lv.反睡眠']"
25,迦奥兽,加奥兽,成长期,资料,无,1,5,速攻,['汪喵兽'],"['奥加兽', '迦奥迦兽', '加鲁哥兽', '血狼兽', '仙人掌兽', '狮子兽']","('等级：9', 'HP：', 'SP：', 'ATK：20', 'DEF：', 'INT：', 'SPD：20', '友情：10', '才能：', '')","('HP：450', 'SP：25', 'ATK：55', 'INT：27', 'DEF：30', 'SPD：43')","('HP：1620', 'SP：113', 'ATK：182', 'INT：105', 'DEF：118', 'SPD：160')","('假动作', '闪避率提升7%')","[('双重反击', '对敌方全体发动2次威力20的无属性物理攻击。')]","['Lv.反眩晕', 'Lv.敏捷填充']"
26,加支兽,,成长期,病毒,暗,1,4,速攻,['柏古兽'],"['多路加兽', '迦奥迦兽', '狮子兽', '魔蛹兽', '亚伯兽', '黑加鲁鲁兽']","('等级：9', 'HP：', 'SP：', 'ATK：15', 'DEF：', 'INT：', 'SPD：20', '友情：', '才能：', '')","('HP：390', 'SP：27', 'ATK：60', 'INT：20', 'DEF：20', 'SPD：44')","('HP：1560', 'SP：115', 'ATK：187', 'INT：98', 'DEF：108', 'SPD：161')","('噩梦军团', '暗属性技能造成的伤害增加15%。')","[('麻痹毒气', '对敌方单体发动威力65的雷属性物理攻击。并有15%的机率使对方麻痹。')]","['Lv.破坏加农Ⅰ', 'Lv.混乱鬼火']"
27,加布兽,,成长期,资料,火,1,5,万能,['独角兽'],"['加鲁鲁兽', '多路加兽', '鼻涕兽', 'V龙兽', '雪人兽', '野狼兽']","('等级：7', 'HP：75', 'SP：', 'ATK：20', 'DEF：', 'INT：', 'SPD：20', '友情：', '才能：', '')","('HP：450', 'SP：35', 'ATK：45', 'INT：30', 'DEF：32', 'SPD：38')","('HP：1520', 'SP：142', 'ATK：143', 'INT：128', 'DEF：130', 'SPD：145')","('野性的鼓动', 'SPD提升15%。')","[('爆炎火焰弹', '对敌方单体发动威力65的火属性物理攻击，并有10%的机率使对方的DEF降低10%。')]","['Lv.爆裂火焰Ⅰ', 'Lv.反晕眩']"
28,加布兽（黑）,,成长期,病毒,火,1,5,万能,['独角兽'],"['黑加鲁鲁兽', '鼻屎兽', '雪人兽', '烂泥兽', '镰鼬兽']","('等级：6', 'HP：80', 'SP：', 'ATK：30', 'DEF：', 'INT：', 'SPD：', '友情：', '才能：', '')","('HP：420', 'SP：30', 'ATK：50', 'INT：25', 'DEF：40', 'SPD：38')","('HP：1490', 'SP：137', 'ATK：148', 'INT：123', 'DEF：138', 'SPD：145')","('威吓', '发动攻击时，有10%的机率使对方眩晕。')","[('幼角', '对敌方单体发动威力70的无属性物理攻击，并有10%的机率使对方的DEF降低10%。')]","['Lv.雄伟巨石Ⅰ', 'Lv.反混乱']"
